coin_slug,price_usd,market_cap_usd,predictions_median_price_february,predictions_vote_count_february,pct_diff
bitcoin-sv,91.18,1730003667.299494,158.229,329.0,73.53476639613952
uniswap,11.01,4991775864.31639,19.0,1452.0,72.57039055404178
solana,96.89,30584367900.79745,166.04,11178.0,71.36959438538548
vechain,0.054802,3662606350.189396,0.09382,2901.0,71.1981314550564
immutable-x,2.88,541565081.3935113,4.93,383.0,71.18055555555556
algorand,0.99346,6507829021.359634,1.7,1594.0,71.11911903851187
holo,0.00463132,822977354.4461142,0.007921,464.0,71.03115310537814
trustswap,1.03,80560627.80141313,1.76,222.0,70.87378640776699
radio-caca,0.00212939,391875989.0358297,0.003623,1230.0,70.14262300471026
wootrade,0.582126,513704952.2257404,0.99,231.0,70.06627431174692
zel,1.61,363105313.64182466,2.72,406.0,68.944099378882
dent,0.00262246,250899589.885856,0.004421,203.0,68.58217093873688
digibyte,0.02228067,335066165.0374443,0.03749,1495.0,68.26244453151547
amp,0.03038279,1460621466.0970924,0.05088,554.0,67.46322506919213
neo,19.29,1360788037.2837467,32.24,2244.0,67.1332296526698
chiliz,0.185181,990570717.2220536,0.3085,596.0,66.59376501908942
eos,2.34,2300373476.4284477,3.8934,886.0,66.3846153846154
energy-web-token,6.12,247692693.4926955,10.16,243.0,66.01307189542484
litecoin,109.97,7648244315.532488,180.52,9012.0,64.15386014367557
monero,152.26,2753578663.2263603,249.92,709.0,64.14028635229214
elrond-egld,148.14,3030545651.475829,242.99,1203.0,64.02727149993252
qtum,5.99,622309062.8503517,9.8,246.0,63.606010016694505
compound,124.52,813775674.2239386,203.42,395.0,63.363315130099586
swipe,1.39,269304863.92906296,2.27,202.0,63.309352517985616
terra-virtua-kolect,0.135279,58737164.18915571,0.22,406.0,62.626867436926624
coti,0.312584,271575242.19155765,0.501,284.0,60.276917564558666
polkadot-new,18.75,20236266631.14119,29.98,4472.0,59.89333333333333
gnosis-gno,272.74,509698384.4403438,435.26,218.0,59.587885898658044
maidsafecoin,0.354829,160578584.94389513,0.5649,213.0,59.20344729433049
harmony,0.188505,2184548922.482181,0.2984,1093.0,58.298188376966124
iota,0.840971,2339512305.183213,1.33,723.0,58.15051886450306
xinfin,0.063572,778213597.2153447,0.1001,417.0,57.459258793179366
gala,0.19706,1488041676.6504128,0.31,1314.0,57.312493656754285
dogelon,9.27951e-07,514881031.9274202,1.458e-06,526.0,57.120365191696564
chainlink,16.36,7653861653.934998,25.5,1832.0,55.8679706601467
wink,0.00030642,294609321.71392834,0.0004639,417.0,51.393512172834676
xrp,0.619156,29566525639.171482,0.937,3372.0,51.33504318782342
numeraire,27.27,161021157.57304013,40.85,1545.0,49.7983131646498
hedera,0.220651,4164826060.8827786,0.3299,1481.0,49.51212548322916
ravencoin,0.072235,756637201.4136498,0.1075,805.0,48.8198241849519
apenft,2.05e-06,568988787.0683999,3.05e-06,342.0,48.78048780487807
ethereum,2562.39,306150509653.058,3801.56,58919.0,48.359929596977835
tron,0.058717,5980089753.424688,0.08694,1286.0,48.06614779365432
nervos-network,0.01533178,453371968.9068305,0.0226,276.0,47.406237240555235
ark,0.87504,142012686.84112766,1.2753,2306.0,45.74190894130554
dash,96.13,1014908844.8618095,139.83,435.0,45.45927389992721
iotex,0.078844,748441100.320704,0.1141,334.0,44.7161483435645
stellar,0.204,5070198173.883678,0.2947,1286.0,44.46078431372551
cartesi,0.461527,238793124.67404827,0.6633,231.0,43.71856901113043
digitalbits,0.284626,216929233.10890606,0.4083,1334.0,43.45140640700429
omg,4.76,667392764.8789974,6.82,314.0,43.27731092436975
illuvium,585.2,371939859.1789489,838.35,282.0,43.258714969241275
enjin-coin,1.73,1615137341.3546627,2.4702,964.0,42.78612716763006
nucypher,0.514355,336876963.3841099,0.7186,530.0,39.70895587677772
wax,0.321445,616371928.517739,0.44,325.0,36.88189270326183
dogecoin,0.143298,19023226648.793434,0.195,2303.0,36.08005694426999
syscoin,0.826747,522821085.7311132,1.1145,343.0,34.805448341511976
shiba-inu,2.158e-05,11848872728.000647,2.887e-05,58751.0,33.78127896200185
the-sandbox,3.84,3547489606.4912424,5.13,1421.0,33.59375
civic,0.263644,176832609.0305032,0.3518,718.0,33.43751422372594
coin98,1.63,301495300.193764,2.1415,359.0,31.38036809815954
decentraland,2.39,3636217694.289707,3.1399,1487.0,31.376569037656886
basic-attention-token,0.88366,1322537467.188918,1.16,554.0,31.272208768078215
yearn-finance,24392.0,871118942.5247759,32000.0,2130.0,31.19055428009183
bitcoin,37886.0,718055280362.605,49662.63,102841.0,31.08438473314681
curve-dao-token,2.98,1171250300.1097555,3.89,741.0,30.536912751677846
maker,1910.23,1722577599.1695228,2490.15,396.0,30.35864791150804
api3,3.88,182237338.92942703,5.05,355.0,30.154639175257735
oasis-network,0.330422,1152553953.730735,0.4288,921.0,29.773441235753072
wrapped-bitcoin,37871.0,10272513185.275785,47434.34,599.0,25.252409495392246
ftx-token,41.02,5672721415.332987,51.22,1670.0,24.865919063871278
ankr,0.073388,599173572.5142006,0.09163,605.0,24.85692483784816
nexo,1.81,1015585503.1159748,2.25,311.0,24.309392265193374
kucoin-token,17.24,1318283150.6283169,21.35,390.0,23.839907192575428
bittorrent,0.0026573,2517192710.212149,0.003288,1166.0,23.734617845181205
chromia,0.538871,305844667.69127786,0.666,7042.0,23.591731601811937
terra-luna,53.43,21415366939.468525,65.19,2811.0,22.01010668163952
nem,0.105222,944171270.597319,0.1281,433.0,21.742601357130642
okb,21.14,5563282672.350092,25.62,1621.0,21.19205298013245
polygon,1.73,11891701194.584593,2.0868,2940.0,20.624277456647413
rocket-pool,28.49,461648243.3644405,34.3,2100.0,20.3931203931204
zcash,94.37,1139421033.4906216,113.16,1251.0,19.91098866165093
binance-coin,392.89,66078686603.31724,470.92,3169.0,19.860520756445844
fantom,2.17,5528298546.977387,2.59,3394.0,19.354838709677423
ampleforth,0.921938,118554165.18027572,1.09,202.0,18.22920847171936
cosmos,30.26,8692723067.912643,35.67,7034.0,17.87838730998017
klaytn,1.22,3203000382.8542037,1.43,474.0,17.21311475409837
avalanche,69.09,16925119946.000011,80.48,2867.0,16.48574323346359
stacks,1.52,1610653140.9484813,1.76,1147.0,15.789473684210531
decred,61.31,841164292.0899167,69.51,240.0,13.37465340075028
helium,27.71,2789728927.8133044,31.2,2748.0,12.594731143991321
swissborg,0.600981,572800684.2156124,0.6753,330.0,12.366281130351876
crypto-com-coin,0.429969,10865718365.519884,0.4807,2715.0,11.79875758484914
huobi-token,8.83,1384469880.8854547,9.8312,314.0,11.338618346545882
livepeer,26.7,663827484.3368428,29.67,2293.0,11.123595505617988
dao-maker,2.62,180395269.24736965,2.84,1118.0,8.396946564885477
secret,5.74,927030873.4408348,6.07,602.0,5.7491289198606355
band-protocol,3.56,148107479.0280108,3.69,851.0,3.6516853932584192
pax-gold,1799.43,349866630.3986071,1846.16,3463.0,2.5969334733776828
ecomi,0.00742879,4321662297.16646,0.007139,442.0,-3.9009044541574056
deapcoin,0.04654489,213131993.75699875,0.04046,1173.0,-13.073164422560668
gatetoken,6.73,1057362733.0905018,5.4612,256.0,-18.852897473997032
convex-finance,25.34,1219048805.5627172,20.52,315.0,-19.02131018153118
velas,0.24225,549455880.4176829,0.1821,1216.0,-24.829721362229094
mxc,0.088884,216381198.0028068,0.05063,530.0,-43.03811709644031
kadena,6.31,1062966063.4993421,3.46,4079.0,-45.16640253565768
